Sales,Competition,Population,Income
107919.0,3.0,65044.0,13240.0
118866.0,5.0,101376.0,22554.0
98579.0,7.0,124989.0,16916.0
122015.0,2.0,55249.0,20967.0
152827.0,3.0,73775.0,19576.0
91259.0,5.0,48484.0,15039.0
123550.0,8.0,138809.0,21857.0
160931.0,2.0,50244.0,26435.0
98496.0,6.0,104300.0,24024.0
108052.0,2.0,37852.0,14987.0
144788.0,3.0,66921.0,30902.0
164571.0,4.0,166332.0,31573.0
105564.0,3.0,61951.0,19001.0
102568.0,5.0,100441.0,20058.0
103342.0,2.0,39462.0,16194.0
127030.0,5.0,139900.0,21384.0
166755.0,6.0,171740.0,18800.0
125343.0,6.0,149894.0,15289.0
121886.0,3.0,57386.0,16702.0
134594.0,6.0,185105.0,19093.0
152937.0,3.0,114520.0,26502.0
109622.0,3.0,52933.0,18760.0
149884.0,5.0,203500.0,33242.0
98388.0,4.0,39334.0,14988.0
140791.0,3.0,95120.0,18505.0
101260.0,3.0,49200.0,16839.0
139517.0,4.0,113566.0,28915.0
115236.0,9.0,194125.0,19033.0
136749.0,7.0,233844.0,19200.0
105067.0,7.0,83416.0,22833.0
136872.0,6.0,183953.0,14409.0
117146.0,3.0,60457.0,20307.0
163538.0,2.0,65065.0,20111.0
